,기입날짜,별점,옵션,후기
169,23.03.29.,5,차 종류 선택: 02.다즐링 / 수량 선택: 50개입,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 재구매너무 만족합니다. 감사합니다. 
170,23.03.29.,5,차 종류 선택: 04.잉글리쉬 블랙퍼스트 / 수량 선택: 50개입,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 재구매너무 만족합니다. 감사합니다. 
171,23.03.12.,3,차 종류 선택: 01.얼그레이 / 수량 선택: 50개입,맛 만족도평범해요유통기한아주 넉넉해요포장꼼꼼해요 맛이 생각보다 연해요.. 
172,23.04.10.,4,허브티 선택: 01.얼그레이 50티백,맛 만족도평범해요유통기한꽤 남았어요포장적당해요 아직 먹어보지않았지만 개봉하니 향이 좋아요.~ 
173,23.03.14.,4,차 종류 선택: 01.얼그레이 / 수량 선택: 50개입,맛 만족도평범해요유통기한꽤 남았어요포장적당해요 좋네요 지금같은 날씨에딱이네요 
174,23.03.10.,4,차 종류 선택: 05.자스민 / 수량 선택: 100개입(50개입x2개),맛 만족도평범해요유통기한꽤 남았어요포장적당해요 배송빠르고 포장도 깔끔한데 맛은그냥 그래요 
175,23.03.10.,4,차 종류 선택: 04.잉글리쉬 블랙퍼스트 / 수량 선택: 100개입(50개입x2개),맛 만족도평범해요유통기한꽤 남았어요포장적당해요 배송빠르고 깔끔한 포장 맛은 그냥그러네요 
176,23.04.11.,5,허브티 선택: 09.로즈마리 50티백,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 요즘 코감기가 심해져서 따뜻한 차 먹고 싶어서 로즈마리 티백 주문해서 꾸준히 마시고 있는데 맛이 진한 편이라서 몇번  우려 먹어도 괜찮네요 티백안에 내용물도 많아서 따뜻한 물 부으면 바로 우려나서 티백 하나로 몇잔을 마셨는지 모르겠네요 가성비가 너무 좋고 토끼 캐릭터도 귀여워서 로즈마리 계속 꺼내서 마시게 되네요 사진/비디오 수 6 
177,23.04.08.,5,차 종류 선택: 01.얼그레이 / 수량 선택: 50개입,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 얼그레이는 많이 텁텁하지 않아서 좋아요 
178,23.04.07.,5,차 종류 선택: 03.아쌈 홍차 / 수량 선택: 50개입,"유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 품질,포장,배송 모두 괜찬아요 "
179,23.04.05.,5,차 종류 선택: 01.얼그레이 / 수량 선택: 50개입,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 두번 우려서 먹어도 좋아요 
180,23.04.05.,5,차 종류 선택: 06.루이보스 / 수량 선택: 50개입,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 두번 우려서 먹어도 좋아요 
181,23.04.05.,5,차 종류 선택: 05.자스민 / 수량 선택: 50개입,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 두번 우려서 먹어도 좋아요 
182,23.04.04.,5,차 종류 선택: 02.다즐링 / 수량 선택: 50개입,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 배송 빠르고 좋아요 
183,23.04.04.,5,차 종류 선택: 03.아쌈 홍차 / 수량 선택: 50개입,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 배송 빠르고 좋아요 
184,23.04.04.,5,차 종류 선택: 05.자스민 / 수량 선택: 50개입,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 배송 빠르고 좋아요 
185,23.04.04.,5,차 종류 선택: 04.잉글리쉬 블랙퍼스트 / 수량 선택: 50개입,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 배송 빠르고 좋아요 
186,23.03.31.,5,차 종류 선택: 01.얼그레이 / 수량 선택: 50개입,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 홍차의 진한맛과 얼레이의 향을 충분히 느낄수 있어서 너무 좋네요 
187,23.03.29.,5,차 종류 선택: 02.다즐링 / 수량 선택: 50개입,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 재구매너무 만족합니다. 감사합니다. 
188,23.03.29.,5,차 종류 선택: 04.잉글리쉬 블랙퍼스트 / 수량 선택: 50개입,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 재구매너무 만족합니다. 감사합니다. 
189,23.03.29.,5,차 종류 선택: 01.얼그레이 / 수량 선택: 100개입(50개입x2개),유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 재구매맛있으니 금방 마셔버리네요. 하루 5잔 마시다 보니 부족한 것 같아 더 주문하게 됩니다. 후에 또 구매하겠습니다. 
190,23.03.12.,3,차 종류 선택: 01.얼그레이 / 수량 선택: 50개입,맛 만족도평범해요유통기한아주 넉넉해요포장꼼꼼해요 맛이 생각보다 연해요.. 
191,23.04.10.,4,허브티 선택: 01.얼그레이 50티백,맛 만족도평범해요유통기한꽤 남았어요포장적당해요 아직 먹어보지않았지만 개봉하니 향이 좋아요.~ 
192,23.03.14.,4,차 종류 선택: 01.얼그레이 / 수량 선택: 50개입,맛 만족도평범해요유통기한꽤 남았어요포장적당해요 좋네요 지금같은 날씨에딱이네요 
193,23.03.10.,4,차 종류 선택: 05.자스민 / 수량 선택: 100개입(50개입x2개),맛 만족도평범해요유통기한꽤 남았어요포장적당해요 배송빠르고 포장도 깔끔한데 맛은그냥 그래요 
194,23.03.10.,4,차 종류 선택: 04.잉글리쉬 블랙퍼스트 / 수량 선택: 100개입(50개입x2개),맛 만족도평범해요유통기한꽤 남았어요포장적당해요 배송빠르고 깔끔한 포장 맛은 그냥그러네요 
195,23.04.11.,5,허브티 선택: 09.로즈마리 50티백,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 요즘 코감기가 심해져서 따뜻한 차 먹고 싶어서 로즈마리 티백 주문해서 꾸준히 마시고 있는데 맛이 진한 편이라서 몇번  우려 먹어도 괜찮네요 티백안에 내용물도 많아서 따뜻한 물 부으면 바로 우려나서 티백 하나로 몇잔을 마셨는지 모르겠네요 가성비가 너무 좋고 토끼 캐릭터도 귀여워서 로즈마리 계속 꺼내서 마시게 되네요 사진/비디오 수 6 
196,23.04.08.,5,차 종류 선택: 01.얼그레이 / 수량 선택: 50개입,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 얼그레이는 많이 텁텁하지 않아서 좋아요 
197,23.04.07.,5,차 종류 선택: 03.아쌈 홍차 / 수량 선택: 50개입,"유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 품질,포장,배송 모두 괜찬아요 "
198,23.04.05.,5,차 종류 선택: 01.얼그레이 / 수량 선택: 50개입,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 두번 우려서 먹어도 좋아요 
199,23.04.05.,5,차 종류 선택: 06.루이보스 / 수량 선택: 50개입,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 두번 우려서 먹어도 좋아요 
200,23.04.05.,5,차 종류 선택: 05.자스민 / 수량 선택: 50개입,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 두번 우려서 먹어도 좋아요 
201,23.04.04.,5,차 종류 선택: 02.다즐링 / 수량 선택: 50개입,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 배송 빠르고 좋아요 
202,23.04.04.,5,차 종류 선택: 03.아쌈 홍차 / 수량 선택: 50개입,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 배송 빠르고 좋아요 
203,23.04.04.,5,차 종류 선택: 05.자스민 / 수량 선택: 50개입,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 배송 빠르고 좋아요 
204,23.04.04.,5,차 종류 선택: 04.잉글리쉬 블랙퍼스트 / 수량 선택: 50개입,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 배송 빠르고 좋아요 
205,23.03.31.,5,차 종류 선택: 01.얼그레이 / 수량 선택: 50개입,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 홍차의 진한맛과 얼레이의 향을 충분히 느낄수 있어서 너무 좋네요 
206,23.03.29.,5,차 종류 선택: 02.다즐링 / 수량 선택: 50개입,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 재구매너무 만족합니다. 감사합니다. 
207,23.03.29.,5,차 종류 선택: 04.잉글리쉬 블랙퍼스트 / 수량 선택: 50개입,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 재구매너무 만족합니다. 감사합니다. 
208,23.03.29.,5,차 종류 선택: 01.얼그레이 / 수량 선택: 100개입(50개입x2개),유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 재구매맛있으니 금방 마셔버리네요. 하루 5잔 마시다 보니 부족한 것 같아 더 주문하게 됩니다. 후에 또 구매하겠습니다. 
209,23.03.29.,5,차 종류 선택: 01.얼그레이 / 수량 선택: 50개입,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 야외에서 분위기내며 먹기 너무조아여 
